scenario,label,variant,sector,flow_sum,flow_pv_3_5,opex_sum,opex_pv_3_5,capex_sum,capex_pv_3_5,revenue_sum,revenue_pv_3_5,req_investment_sum,req_investment_pv_3_5,req_capacity_additions_sum,req_capacity_additions_pv_3_5,ghg_sum,ghg_pv_3_5,jobs_sum,jobs_pv_3_5
RES,Recycling,CENTRAL,Open loop MR Outputs,8785844.258356718,5607325.76789847,1598419450.2418637,1030809310.4274795,599407293.8406988,386553491.4103047,8004582449.386853,5038780328.127573,203767679.58576494,132032264.32942572,297374.01857852127,191084.95341348986,3658290.3777694474,2581463.0796727985,26357.532775070173,16821.97730369542
RES,Recycling,CENTRAL,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RES,Recycling,CENTRAL,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RES,Recycling,CENTRAL,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RES,Recycling,CENTRAL,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RES,Recycling,CENTRAL,Thermal treatment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RES,Recycling,CENTRAL,Engineered landfills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RES,Recycling,CENTRAL,Import (sorting),273448.6386022658,175818.27755951433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8318.599521478984,5898.280408074065,0.0,0.0,0.0,0.0
RES,Recycling,CENTRAL,Open burning,18956514.31444154,11888173.926960636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824053.6282422012,533161.2714532461,54860152.4259938,34404375.34462408,0.0,0.0
RSS,Reduce & Substitute,CENTRAL,Virgin plastic production,44795948.21554144,29742158.169102192,45355897568.2357,30113935146.215973,15118632522.745237,10037978382.071991,0.0,0.0,5010704673.927147,4045364594.1196413,742326.6183595771,599313.2732029097,119381201.99441792,79262851.52065733,358367.5857243317,237937.2653528177
RSS,Reduce & Substitute,CENTRAL,Plastic conversion,47016021.178722635,31202003.64355864,31418456152.681377,20850738934.808044,10472818717.560465,6950246311.602686,0.0,0.0,3442516399.8887696,2769745266.690834,772730.953959319,621716.1092459776,61779051.828841545,40999432.78763605,235080.1058936132,156010.01821779317
RSS,Reduce & Substitute,CENTRAL,Formal collection,13212586.459126024,8710155.24012627,747317393.9328233,474045626.9941766,320278883.02898157,203162411.51496062,0.0,0.0,57992906.96506195,45244867.37747382,283745.23179907695,223372.03696746178,229370.50093042786,151208.29496859206,79655.45973354031,52511.400561056915
RSS,Reduce & Substitute,CENTRAL,Informal collection & sorting,13591081.871301025,8940904.42824954,4277140467.047845,2813720386.956411,0.0,0.0,0.0,0.0,0.0,0.0,225294.71506278357,160055.8404993228,0.0,0.0,1508610.0877144134,992440.3915356986
RSS,Reduce & Substitute,CENTRAL,Formal sorting,273448.63860231417,175818.27755953695,16343902.248486485,10618218.177028352,5447967.416162159,3539406.059009449,0.0,0.0,1692562.3396235884,1214657.2268244047,8318.59952147899,5898.280408074068,13229.445135579956,8506.088268330395,464.86268562393394,298.89107185121276
RSS,Reduce & Substitute,CENTRAL,Closed loop MR Inputs,3041593.986914286,2000072.5344932217,839717111.5260043,557348093.137554,321891559.4183016,213650102.3693957,3333587009.6580606,2192079497.8045735,55190914.61275629,38952605.97901076,51484.97447439601,36133.19795913217,1332766.133476883,964961.621877421,9124.781960742861,6000.217603479667
RSS,Reduce & Substitute,CENTRAL,Closed loop MR Outputs,2220072.9631811925,1459845.474456441,612915474.3244169,406807854.34617615,234950931.82435971,155943010.8327008,2433199967.646589,1599990640.00426,40285948.68263062,28429505.87533261,37581.2562947633,26371.984688161094,972769.9074835944,704312.4695842771,6660.218889543577,4379.536423369322
RSS,Reduce & Substitute,CENTRAL,Open loop MR Inputs,9870071.639166549,6494511.837420904,1816393398.0390255,1206368631.7358983,681147524.2646347,452388236.9009619,8932668728.011858,5793338036.634917,68278607.67396227,48909917.10619163,162401.5412572286,115739.75185637755,4330324.5390881365,3135966.251860487,29610.214917499652,19483.535512262715
RSS,Reduce & Substitute,CENTRAL,Open loop MR Outputs,7204180.000336771,4740294.20475012,1325793268.6598904,880522706.1594797,497172475.7474591,330196014.8098051,6519984182.435572,4228519275.661523,83082934.44292133,59501492.84326566,118571.59615947686,84483.7323894224,3160630.838219945,2288882.7432418214,21612.5400010103,14220.882614250351
RSS,Reduce & Substitute,CENTRAL,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSS,Reduce & Substitute,CENTRAL,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSS,Reduce & Substitute,CENTRAL,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSS,Reduce & Substitute,CENTRAL,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSS,Reduce & Substitute,CENTRAL,Thermal treatment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSS,Reduce & Substitute,CENTRAL,Engineered landfills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSS,Reduce & Substitute,CENTRAL,Import (sorting),273448.63860231417,175818.27755953695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8318.59952147899,5898.280408074068,0.0,0.0,0.0,0.0
RSS,Reduce & Substitute,CENTRAL,Open burning,17900940.453936838,11942338.754921313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303913.69711647904,250508.39482110715,51805321.673693195,34561128.356742285,0.0,0.0
SCS,System Change,CENTRAL,Virgin plastic production,43848399.4091107,29227527.28038515,44396504401.724594,29592871371.38997,14798834800.574862,9864290457.129992,0.0,0.0,4672312419.023583,3810100717.5818806,692194.4324479385,564459.3655676863,116855984.42528,77891360.20222643,350787.1952728858,233820.21824308138
SCS,System Change,CENTRAL,Plastic conversion,47016021.17872113,31202003.64355787,31418456152.680397,20850738934.807545,10472818717.560133,6950246311.602516,0.0,0.0,3442516399.88877,2769745266.690834,772730.953959319,621716.1092459777,61779051.8288396,40999432.78763506,235080.1058936057,156010.01821778936
SCS,System Change,CENTRAL,Formal collection,22386306.150543507,13820817.202463599,1476848170.8681974,870739762.5128783,632934930.2039387,373174183.834953,0.0,0.0,218188371.89451402,152157659.59354556,923992.6032893492,659049.389101313,388626.2747734353,239929.38663476807,134961.57725618224,83322.3344695738
SCS,System Change,CENTRAL,Informal collection & sorting,14809238.960055193,9609502.084357096,4660496923.058431,3024129397.6731744,0.0,0.0,0.0,0.0,0.0,0.0,373143.9514277796,246193.19739867075,0.0,0.0,1643825.5245661265,1066654.7313636376
SCS,System Change,CENTRAL,Formal sorting,273448.63860226574,175818.27755951422,16343902.248483727,10618218.177027063,5447967.416161243,3539406.059009021,0.0,0.0,1692562.3396236019,1214657.2268244105,8318.599521478984,5898.280408074066,13229.445135577607,8506.088268329295,464.8626856238514,298.8910718511741
SCS,System Change,CENTRAL,Closed loop MR Inputs,3978090.2854159996,2510059.4915221627,1081060486.7263331,689501802.4699161,414406519.91176134,264309024.2801346,4359986952.815933,2751025202.7082896,162951206.33655992,103091160.07174394,156038.54132114764,97887.91987465533,1623607.6866487341,1134140.8149495856,11934.270856247998,7530.17847456649
SCS,System Change,CENTRAL,Closed loop MR Outputs,3167621.7696104487,1974476.3631727227,856113119.3454453,539641204.4339383,328176695.74908704,206862461.69967613,3471713459.4930496,2164026094.0373034,149130381.11901736,93088495.6707466,143586.96294183627,88853.8033172879,1265434.223350227,873872.4534906927,9502.865308831342,5923.4290895181675
SCS,System Change,CENTRAL,Open loop MR Inputs,10059360.034524169,6602284.046994459,1849318115.060746,1225263189.2267182,693494293.1477798,459473695.9600194,9107620546.816107,5891933157.293869,81961076.61022674,56550985.443937,196289.0230974141,134410.91556274003,4393447.072652741,3176360.709677856,30178.080103572524,19806.852140983392
SCS,System Change,CENTRAL,Open loop MR Outputs,7946132.170501337,5150712.463571392,1454232325.2633526,951975796.1195043,545337121.9737574,356990923.5448141,7215188073.634087,4611183567.823003,139935963.76871577,93628021.84094387,202513.17350087676,134439.18814670193,3398397.867374406,2430477.475605965,23838.396511504012,15452.137390714177
SCS,System Change,CENTRAL,Chemical conversion P2P Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCS,System Change,CENTRAL,Chemical conversion P2P Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCS,System Change,CENTRAL,Chemical conversion P2F Inputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCS,System Change,CENTRAL,Chemical conversion P2F Outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCS,System Change,CENTRAL,Thermal treatment,1718680.0573031856,949828.7448809332,44302805.633741185,24483950.977955148,35942785.15282167,19863784.63179389,60669406.022802405,33528954.694296934,74527769.79294175,45080771.13835852,178185.12270793816,107781.60623045558,2388965.2796514253,1320261.9553844961,171.86800573031854,94.98287448809333
SCS,System Change,CENTRAL,Engineered landfills,3402762.0595411253,1980397.673117521,17013810.297705613,9901988.365587601,51041430.89311689,29705965.09676282,34027.62059541125,19803.97673117521,51041430.89311689,29705965.09676282,3402762.0595411253,1980397.673117521,17013.810297705615,9901.988365587602,340.27620595411264,198.03976731175217
SCS,System Change,CENTRAL,Import (sorting),273448.63860226574,175818.27755951422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8318.599521478984,5898.280408074066,0.0,0.0,0.0,0.0
SCS,System Change,CENTRAL,Open burning,16368263.288011447,11067069.85010432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264160.8845609882,217092.87632951434,47369753.95550513,32028100.146201905,0.0,0.0
