scenario,label,variant,year,formal_collection_t,informal_collection_t,mixed_collection_t,uncollected_t,closed_loop_mr_t,open_loop_mr_t,chemical_p2p_t,chemical_p2f_t,engineered_landfill_t,thermal_treatment_t,unsanitary_dumpsite_t,uncollected_to_burn_t,uncollected_to_land_t,uncollected_to_water_t,post_collection_mismanaged_t,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t
BAU,Business-as-Usual,CENTRAL,2040,454018.013420088,814152.5581906012,907994.513943048,2476839.44365405,114253.003957187,370679.09064440045,0.0,0.0,0.0,0.0,193813.04401118,1267632.39548814,713577.703180007,495302.524667037,808382.3880691526,681577.2003249864,592488.861764141,1412621.487037051,2686687.5491261785
BAU,Business-as-Usual,CENTRAL,2041,458423.178124397,825901.1883559426,916801.520553486,2581201.85047136,115874.428227877,375903.71762086346,0.0,0.0,0.0,0.0,195558.490905674,1319752.88086123,744943.123167932,516174.001007291,816272.0838591306,708095.9049663048,618675.575453714,1466467.2373413169,2793238.717761336
BAU,Business-as-Usual,CENTRAL,2042,462929.976088688,837669.9533670644,925814.287968245,2686194.89973337,117499.488479245,381143.2032451024,0.0,0.0,0.0,0.0,197355.479026118,1372228.28021638,776461.666164645,537172.486595257,824347.4163070911,734796.6945740083,644985.372441097,1520688.180491348,2900470.2475064537
BAU,Business-as-Usual,CENTRAL,2043,467815.298881938,849928.3578987579,935581.4762187791,2793279.76831017,119193.856383035,386610.99439188046,0.0,0.0,0.0,0.0,199319.319523396,1425802.06908118,808551.943625851,558588.503176758,833089.8214591467,762077.3722494988,671763.550051125,1576111.269487953,3009952.1917885765
BAU,Business-as-Usual,CENTRAL,2044,473090.64623803,862686.417904809,946128.6141207521,2902515.12023079,120959.101710035,392312.49140439945,0.0,0.0,0.0,0.0,201457.32229956,1480506.19027701,841232.137551403,580434.581957102,842525.4400153742,789958.0382308495,699026.203866844,1632772.516395706,3121756.7584933992
BAU,Business-as-Usual,LOWER,2020,294712.10090047,451986.21533871157,557269.616213684,611030.931306259,71015.3178505164,221129.1663212372,0.0,0.0,0.0,0.0,100719.310894496,272631.884295785,21072.5247311259,85289.751888484,530899.2871675993,124385.48835224914,19654.8749681226,327974.6677862686,472015.03110664035
BAU,Business-as-Usual,LOWER,2021,289536.770578989,447497.36772829626,546169.437197956,673711.923750572,70174.5100553394,218633.01944869297,0.0,0.0,0.0,0.0,98530.165980112,293279.434458827,33784.5753116058,94143.9205210824,519635.4571595759,132450.9717787594,30725.2978136108,347866.708694796,511042.9782871662
BAU,Business-as-Usual,LOWER,2022,302401.677537079,471346.1640871714,570043.532638585,780678.47482148,73774.3343777381,229981.3421187665,0.0,0.0,0.0,0.0,102461.481147145,332648.01765251,49185.901294753,109051.994532466,542094.7944895488,149093.7517378499,44841.6117244787,389622.72578010545,583558.0892424341
BAU,Business-as-Usual,LOWER,2023,299121.935899986,470398.2189036228,563763.21632825,848648.058876141,73508.574734253,229285.55834790083,0.0,0.0,0.0,0.0,101240.455879844,355274.084252566,60847.4946958903,118183.027909511,536334.5472711499,158344.70024733248,55641.410412295,411884.67743102706,625870.7880906545
BAU,Business-as-Usual,LOWER,2024,296165.557625359,469795.96616960777,557951.000242218,916490.746010227,73288.6983165083,228750.0303464535,0.0,0.0,0.0,0.0,100076.903704082,377914.215600625,71432.9790566697,127224.902149647,530812.3683959654,167523.65310673858,65369.0932166206,434246.7601030699,667139.506426429
BAU,Business-as-Usual,LOWER,2025,293343.401859205,469346.5687645576,552397.856694747,983621.265677427,73094.9852604324,228280.26628994697,0.0,0.0,0.0,0.0,98705.4767491907,400363.94406882,81832.8262277821,136173.24879659,525364.6128740676,176103.37642688476,74926.0721142445,456083.1562242172,707112.6047653465
BAU,Business-as-Usual,LOWER,2026,295235.083254192,476402.8830668165,555681.74803497,1066651.61272596,74067.6704256097,231455.01105677005,0.0,0.0,0.0,0.0,99016.56212513,429288.450307294,93503.4561397054,147172.923058049,528261.0736333643,187545.0811234596,85642.537082095,485483.2683283208,758670.8865338755
BAU,Business-as-Usual,LOWER,2027,297197.662513026,483653.07011813746,559136.403073304,1151107.89576446,75072.1059833453,234726.9510816928,0.0,0.0,0.0,0.0,99375.4534083358,458755.839791406,105320.974771066,158058.55128173,531379.4613568021,199211.77924847894,96496.9764019497,515459.5877834806,811168.3434339092
BAU,Business-as-Usual,LOWER,2028,299453.867545485,491429.87389446324,563138.187205857,1237961.24863677,76156.7668456955,238251.06326642827,0.0,0.0,0.0,0.0,99827.5803196081,489132.857469976,117372.860898922,169260.075935981,535013.2802380645,211239.83237278767,107566.029094874,546402.4950564012,865208.3565240629
BAU,Business-as-Usual,LOWER,2029,301709.983038247,499255.3692033883,567139.498730409,1326075.42339902,77247.9146005612,241796.38456993163,0.0,0.0,0.0,0.0,100277.961990288,519969.001911554,129555.340540859,180622.224990632,538649.2689377742,223435.98244540853,118755.158070206,577807.115900149,919998.2564157635
BAU,Business-as-Usual,LOWER,2030,303958.524483583,507104.49227648886,571124.41440612,1415336.6937758,78341.7782067253,245351.05056213227,0.0,0.0,0.0,0.0,100723.254798116,551222.642538103,141853.074395314,192129.834306651,542193.338796598,235782.30871763424,130050.016740215,609629.0935370232,975461.4189948724
BAU,Business-as-Usual,LOWER,2031,306436.871875316,515360.74302407395,575537.553013081,1506815.72094296,79497.730868883,249100.90328267796,0.0,0.0,0.0,0.0,101241.509216949,583311.090080365,154371.935579073,203928.176552023,546135.0600788592,248456.926265801,141547.341743951,642330.1993339533,1032334.4673437054
