scenario,label,variant,year,generation_from_econs_flow_t,generation_from_flow42_t,waste_generated_total_t,generation_from_econs_flow_Mt,generation_from_flow42_Mt,waste_generated_total_Mt,flow42_minus_econs_t
CDS,Collection & Disposal,CENTRAL,2023,1585757.32612573,1586069.6575,1585757.326125735,1.58575732612573,1.5860696575,1.585757326125735,312.33137426991016
CDS,Collection & Disposal,CENTRAL,2024,1648524.20900955,1648842.458,1648524.2090095459,1.64852420900955,1.648842458,1.6485242090095458,318.2489904500544
CDS,Collection & Disposal,CENTRAL,2025,1710874.30125954,1711190.39626,1710874.301259541,1.71087430125954,1.7111903962600001,1.7108743012595409,316.0950004600454
CDS,Collection & Disposal,CENTRAL,2026,1800839.95940001,1801296.78572,1800839.9594000129,1.80083995940001,1.80129678572,1.8008399594000128,456.82631998998113
CDS,Collection & Disposal,CENTRAL,2027,1892401.20120436,1892865.441,1892401.201204358,1.89240120120436,1.892865441,1.8924012012043578,464.23979564011097
CDS,Collection & Disposal,CENTRAL,2028,1987121.03485839,1987601.33208,1987121.034858385,1.98712103485839,1.9876013320800001,1.9871210348583852,480.29722161008976
CDS,Collection & Disposal,CENTRAL,2029,2083124.74078797,2083611.4984,2083124.7407879648,2.08312474078797,2.0836114984,2.083124740787965,486.75761203002185
CDS,Collection & Disposal,CENTRAL,2030,2180276.03758144,2180768.61004,2180276.03758144,2.18027603758144,2.1807686100400003,2.18027603758144,492.57245856011286
CDS,Collection & Disposal,CENTRAL,2031,2280238.78264535,2280745.65174,2280238.782645349,2.28023878264535,2.28074565174,2.2802387826453487,506.8690946502611
CDS,Collection & Disposal,CENTRAL,2032,2380892.96313638,2381403.28272,2380892.963136376,2.38089296313638,2.38140328272,2.3808929631363758,510.31958361994475
CDS,Collection & Disposal,CENTRAL,2033,2484131.24780698,2484654.7176,2484131.247806982,2.48413124780698,2.4846547176000002,2.484131247806982,523.4697930202819
CDS,Collection & Disposal,CENTRAL,2034,2587983.86783427,2588510.40108,2587983.8678342737,2.58798386783427,2.58851040108,2.5879838678342737,526.5332457302138
CDS,Collection & Disposal,CENTRAL,2035,2692270.40485851,2692799.1336,2692270.40485851,2.69227040485851,2.6927991336,2.69227040485851,528.7287414898165
CDS,Collection & Disposal,CENTRAL,2036,2799076.82415882,2799618.38225,2799076.8241588282,2.7990768241588198,2.79961838225,2.799076824158828,541.5580911799334
CDS,Collection & Disposal,CENTRAL,2037,2906361.02601185,2906904.95336,2906361.026011849,2.9063610260118504,2.90690495336,2.9063610260118486,543.9273481499404
CDS,Collection & Disposal,CENTRAL,2038,3014087.97394836,3014634.14532,3014087.9739483553,3.01408797394836,3.01463414532,3.0140879739483553,546.1713716401719
CDS,Collection & Disposal,CENTRAL,2039,3124213.87595853,3124772.26022,3124213.8759585223,3.1242138759585303,3.12477226022,3.1242138759585223,558.3842614698224
CDS,Collection & Disposal,CENTRAL,2040,3234792.55190633,3235353.18113,3234792.55190634,3.23479255190633,3.23535318113,3.23479255190634,560.6292236698791
CDS,Collection & Disposal,CENTRAL,2041,3348105.12828879,3348679.67718001,3348105.128288785,3.34810512828879,3.34867967718001,3.348105128288785,574.5488912197761
CDS,Collection & Disposal,CENTRAL,2042,3462149.32276063,3462727.52882,3462149.3227606257,3.46214932276063,3.4627275288200003,3.462149322760626,578.2060593701899
CDS,Collection & Disposal,CENTRAL,2043,3578841.53946779,3579433.22039,3578841.539467791,3.57884153946779,3.57943322039,3.578841539467791,591.6809222097509
CDS,Collection & Disposal,CENTRAL,2044,3698253.30874651,3698858.779,3698253.308746507,3.6982533087465104,3.698858779,3.698253308746507,605.4702534899116
CDS,Collection & Disposal,LOWER,2020,1330384.192,1330384.192,1179979.5228238911,1.3303841920000001,1.3303841920000001,1.1799795228238912,0.0
CDS,Collection & Disposal,LOWER,2021,1382917.85029998,1383185.5455,1231448.2025072682,1.38291785029998,1.3831855455,1.2314482025072682,267.6952000199817
CDS,Collection & Disposal,LOWER,2022,1523747.81136458,1524464.073,1361722.4780999562,1.52374781136458,1.524464073,1.3617224780999562,716.2616354201455
CDS,Collection & Disposal,LOWER,2023,1585757.32612591,1586069.6575,1421752.257710969,1.5857573261259101,1.5860696575,1.4217522577109691,312.33137408993207
CDS,Collection & Disposal,LOWER,2024,1648524.20900894,1648842.458,1482410.689107282,1.64852420900894,1.648842458,1.4824106891072821,318.2489910600707
CDS,Collection & Disposal,LOWER,2025,1710874.30125968,1711190.39626,1501375.79859932,1.7108743012596799,1.7111903962600001,1.50137579859932,316.0950003201142
CDS,Collection & Disposal,LOWER,2026,1800839.95939989,1801296.78572,1570418.184098476,1.8008399593998898,1.80129678572,1.570418184098476,456.82632011012174
CDS,Collection & Disposal,LOWER,2027,1892401.20120431,1892865.441,1639965.783816923,1.8924012012043099,1.892865441,1.6399657838169228,464.23979569016956
CDS,Collection & Disposal,LOWER,2028,1987121.03485846,1987601.33208,1711339.68294056,1.98712103485846,1.9876013320800001,1.7113396829405598,480.29722154000774
CDS,Collection & Disposal,LOWER,2029,2083124.74078777,2083611.4984,1784837.221481835,2.08312474078777,2.0836114984,1.784837221481835,486.75761223002337
CDS,Collection & Disposal,LOWER,2030,2180276.03758146,2180768.61004,1856459.3339811559,2.1802760375814603,2.1807686100400003,1.856459333981156,492.57245854008943
CDS,Collection & Disposal,LOWER,2031,2280238.78264533,2280745.65174,1929506.7403769959,2.2802387826453296,2.28074565174,1.9295067403769959,506.86909467028454
CDS,Collection & Disposal,LOWER,2032,2380892.96313641,2381403.28272,2002151.4114587698,2.38089296313641,2.38140328272,2.0021514114587697,510.31958359014243
CDS,Collection & Disposal,LOWER,2033,2484131.24780705,2484654.7176,2075963.3070488349,2.48413124780705,2.4846547176000002,2.075963307048835,523.4697929499671
CDS,Collection & Disposal,LOWER,2034,2587983.86783427,2588510.40108,2149264.790843585,2.58798386783427,2.58851040108,2.149264790843585,526.5332457302138
CDS,Collection & Disposal,LOWER,2035,2692270.40485848,2692799.1336,2221896.4140061727,2.6922704048584802,2.6927991336,2.2218964140061725,528.7287415196188
