scenario,label,variant,year,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t,leakage_avoided_vs_BAU_t,required_investment_usd,required_investment_pv_3_5_usd,opex_usd,capex_usd,revenue_usd,net_annual_cost_usd,ghg_total,jobs_total,investment_per_t_avoided_usd
BAU,Business-as-Usual,LOWER,2023,158344.70024733248,55641.410412295,411884.67743102706,625870.7880906545,0.0,692299498.35501,624414482.6789323,2493770932.6258526,817312040.9549441,537574377.9442081,2773508595.6365886,7719483.365930591,64135.29440382258,
BAU,Business-as-Usual,LOWER,2024,167523.65310673858,65369.0932166206,434246.7601030699,667139.506426429,0.0,704798700.3066003,614191349.4742423,2639649487.3662934,837276799.1241136,533784709.9874933,2943141576.5029135,8108296.751867419,65194.10253599393,
BAU,Business-as-Usual,LOWER,2025,176103.37642688476,74926.0721142445,456083.1562242172,707112.6047653465,0.0,699821443.7831317,589230877.257588,2661930828.9574566,822914817.9280158,538588129.6215403,2946257517.263932,8368624.754646173,65225.505880471566,
BAU,Business-as-Usual,LOWER,2026,187545.0811234596,85642.537082095,485483.2683283208,758670.8865338755,0.0,1002872970.4669652,815837807.6337062,2776550564.633755,891731600.1331196,555284234.0457457,3112997930.721129,8817303.417401485,67050.06334684676,
BAU,Business-as-Usual,LOWER,2027,199211.77924847894,96496.9764019497,515459.5877834806,811168.3434339092,0.0,1023907677.5588918,804782179.1360517,2877181837.034798,928951905.7183645,565124210.1008834,3241009532.652279,9306558.052376421,68369.39300480612,
BAU,Business-as-Usual,LOWER,2028,211239.83237278767,107566.029094874,546402.4950564012,865208.3565240629,0.0,1059670619.4290833,804726114.1772784,3025600775.9576263,990744807.4200902,587094961.0914035,3429250622.286313,9690211.444355594,71753.62328266968,
BAU,Business-as-Usual,LOWER,2029,223435.98244540853,118755.158070206,577807.115900149,919998.2564157635,0.0,1073904373.6296053,787956900.1019288,3130547314.00262,1022834909.3781294,599184205.9410708,3554198017.439679,10196376.23774294,72231.17458465365,
BAU,Business-as-Usual,LOWER,2030,235782.30871763424,130050.016740215,609629.0935370232,975461.4189948724,0.0,1087105472.0503004,770669521.6233008,3394731060.8438025,1095178902.8671231,605711791.4332093,3884198172.2777166,10601668.584281903,74552.13164571759,
BAU,Business-as-Usual,LOWER,2031,248456.926265801,141547.341743951,642330.1993339533,1032334.4673437054,0.0,1118842716.0435615,766346522.6912282,3527726203.265438,1137801646.6846244,623919657.0405728,4041608192.90949,11170198.933041664,75265.15977437215,
BAU,Business-as-Usual,LOWER,2032,261234.0624939319,153119.403860349,675320.0419622157,1089673.5083164966,0.0,1126457825.6264417,745470975.226667,3493982008.001223,1168856870.104542,639606508.3535386,4023232369.752227,11544400.352024006,77271.68199053268,
